index,original_reference_recovery,verified_reference_recovery,original_top1_correct,archive
29,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/29/aam.json.gz
30,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/30/aam.json.gz
31,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/31/aam.json.gz
32,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/32/aam.json.gz
33,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/33/aam.json.gz
34,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/34/aam.json.gz
35,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/35/aam.json.gz
36,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/36/aam.json.gz
37,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/37/aam.json.gz
38,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/38/aam.json.gz
39,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/39/aam.json.gz
40,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/40/aam.json.gz
41,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/41/aam.json.gz
42,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/42/aam.json.gz
43,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/43/aam.json.gz
44,unknown,not_recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/44/aam.json.gz
45,not_recovered,not_recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/45/aam.json.gz
46,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/46/aam.json.gz
47,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/47/aam.json.gz
48,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/48/aam.json.gz
49,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/49/aam.json.gz
50,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/50/aam.json.gz
51,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/51/aam.json.gz
52,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/52/aam.json.gz
53,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/53/aam.json.gz
54,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/54/aam.json.gz
55,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/55/aam.json.gz
56,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/56/aam.json.gz
57,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/57/aam.json.gz
58,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/58/aam.json.gz
59,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/59/aam.json.gz
60,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/60/aam.json.gz
61,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/61/aam.json.gz
62,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/62/aam.json.gz
63,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/63/aam.json.gz
64,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/64/aam.json.gz
65,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/65/aam.json.gz
66,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/66/aam.json.gz
67,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/67/aam.json.gz
68,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/68/aam.json.gz
69,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/69/aam.json.gz
70,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/70/aam.json.gz
71,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/71/aam.json.gz
72,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/72/aam.json.gz
73,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/73/aam.json.gz
74,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/74/aam.json.gz
75,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/75/aam.json.gz
76,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/76/aam.json.gz
77,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/77/aam.json.gz
78,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/78/aam.json.gz
79,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/79/aam.json.gz
80,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/80/aam.json.gz
81,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/81/aam.json.gz
82,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/82/aam.json.gz
83,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/83/aam.json.gz
84,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/84/aam.json.gz
85,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/85/aam.json.gz
86,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/86/aam.json.gz
87,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/87/aam.json.gz
88,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/88/aam.json.gz
89,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/89/aam.json.gz
90,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/90/aam.json.gz
91,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/91/aam.json.gz
92,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/92/aam.json.gz
93,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/93/aam.json.gz
94,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/94/aam.json.gz
95,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/95/aam.json.gz
96,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/96/aam.json.gz
97,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/97/aam.json.gz
98,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/98/aam.json.gz
99,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/99/aam.json.gz
100,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/100/aam.json.gz
101,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/101/aam.json.gz
102,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/102/aam.json.gz
103,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/103/aam.json.gz
104,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/104/aam.json.gz
105,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/105/aam.json.gz
106,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/106/aam.json.gz
107,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/107/aam.json.gz
108,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/108/aam.json.gz
109,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/109/aam.json.gz
110,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/110/aam.json.gz
111,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/111/aam.json.gz
112,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/112/aam.json.gz
113,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/113/aam.json.gz
114,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/114/aam.json.gz
115,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/115/aam.json.gz
116,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/116/aam.json.gz
117,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/117/aam.json.gz
118,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/118/aam.json.gz
119,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/119/aam.json.gz
120,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/120/aam.json.gz
121,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/121/aam.json.gz
122,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/122/aam.json.gz
123,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/123/aam.json.gz
124,unknown,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/124/aam.json.gz
125,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/125/aam.json.gz
126,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/126/aam.json.gz
127,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/127/aam.json.gz
128,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/128/aam.json.gz
129,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/129/aam.json.gz
130,not_recovered,not_recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/130/aam.json.gz
131,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/131/aam.json.gz
132,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/132/aam.json.gz
133,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/133/aam.json.gz
134,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/134/aam.json.gz
135,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/135/aam.json.gz
136,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/136/aam.json.gz
137,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/137/aam.json.gz
138,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/138/aam.json.gz
139,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/139/aam.json.gz
140,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/140/aam.json.gz
141,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/141/aam.json.gz
142,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/142/aam.json.gz
143,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/143/aam.json.gz
144,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/144/aam.json.gz
145,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/145/aam.json.gz
146,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/146/aam.json.gz
147,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/147/aam.json.gz
148,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/148/aam.json.gz
149,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/149/aam.json.gz
150,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/150/aam.json.gz
151,not_recovered,not_recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/151/aam.json.gz
152,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/152/aam.json.gz
153,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/153/aam.json.gz
154,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/154/aam.json.gz
155,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/155/aam.json.gz
156,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/156/aam.json.gz
157,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/157/aam.json.gz
158,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/158/aam.json.gz
159,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/159/aam.json.gz
160,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/160/aam.json.gz
161,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/161/aam.json.gz
162,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/162/aam.json.gz
163,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/163/aam.json.gz
164,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/164/aam.json.gz
165,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/165/aam.json.gz
166,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/166/aam.json.gz
167,not_recovered,not_recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/167/aam.json.gz
168,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/168/aam.json.gz
169,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/169/aam.json.gz
170,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/170/aam.json.gz
171,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/171/aam.json.gz
172,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/172/aam.json.gz
173,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/173/aam.json.gz
174,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/174/aam.json.gz
175,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/175/aam.json.gz
176,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/176/aam.json.gz
177,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/177/aam.json.gz
178,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/178/aam.json.gz
179,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/179/aam.json.gz
180,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/180/aam.json.gz
181,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/181/aam.json.gz
182,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/182/aam.json.gz
183,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/183/aam.json.gz
184,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/184/aam.json.gz
185,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/185/aam.json.gz
186,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/186/aam.json.gz
187,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/187/aam.json.gz
188,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/188/aam.json.gz
189,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/189/aam.json.gz
190,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/190/aam.json.gz
191,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/191/aam.json.gz
192,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/192/aam.json.gz
193,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/193/aam.json.gz
194,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/194/aam.json.gz
195,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/195/aam.json.gz
196,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/196/aam.json.gz
197,recovered,recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/197/aam.json.gz
198,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/198/aam.json.gz
199,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/199/aam.json.gz
200,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/200/aam.json.gz
201,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/201/aam.json.gz
202,not_recovered,not_recovered,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/202/aam.json.gz
203,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/203/aam.json.gz
204,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/204/aam.json.gz
205,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/205/aam.json.gz
206,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/206/aam.json.gz
207,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/207/aam.json.gz
208,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/208/aam.json.gz
209,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/209/aam.json.gz
210,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/210/aam.json.gz
211,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/211/aam.json.gz
212,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/212/aam.json.gz
213,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/213/aam.json.gz
214,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/214/aam.json.gz
215,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/215/aam.json.gz
216,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/216/aam.json.gz
217,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/217/aam.json.gz
218,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/218/aam.json.gz
219,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/219/aam.json.gz
220,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/220/aam.json.gz
221,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/221/aam.json.gz
222,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/222/aam.json.gz
223,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/223/aam.json.gz
224,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/224/aam.json.gz
225,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/225/aam.json.gz
226,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/226/aam.json.gz
227,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/227/aam.json.gz
228,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/228/aam.json.gz
229,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/229/aam.json.gz
230,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/230/aam.json.gz
231,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/231/aam.json.gz
232,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/232/aam.json.gz
233,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/233/aam.json.gz
234,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/234/aam.json.gz
235,recovered,recovered,True,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/235/aam.json.gz
