step_id,n_atoms,n_mapped,n_broken,n_formed,chirality_violations,charge,multiplicity,broken_bonds,formed_bonds,time_s,error
pr13.Cyclobutane_JOC2023_TS-CD1-3_step2,46,46,1,1,1,0,3,1(C)-8(N),8(N)-42(N),0.02,
pr13.Cyclobutane_JOC2023_TS-CD_step1,46,44,3,1,1,0,1,0(C)-8(N);1(C)-8(N);8(N)-42(N),44(N)-45(N),0.02,
pr13.Cyclobutane_JOC2023_TS-D1G-3_step3G,46,46,1,1,1,0,3,8(N)-42(N),1(C)-42(N),0.02,
pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-CD1-3_step2,46,46,1,1,1,0,3,1(C)-8(N),8(N)-42(N),0.02,
pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-D1G-3_step3G,46,46,1,1,1,0,3,8(N)-42(N),1(C)-42(N),0.02,
pr14.Pd_hydroamination_JOC2025_TS11_step1_reductive_coupling,133,132,2,2,2,0,1,89(Pd)-91(C);130(N)-132(H),87(O)-132(H);91(C)-130(N),1.68,
pr14.Pd_hydroamination_JOC2025_TS12_step2_prot_oxidation,133,132,2,1,4,0,1,86(O)-89(H);95(C)-97(C),97(C)-103(H),1.93,
pr14.Pd_hydroamination_JOC2025_TS13_step3_bHelimination,133,132,2,2,1,0,1,88(Pd)-95(C);92(C)-99(H),88(H)-89(Pd);92(C)-93(C),0.84,
pr14.Pd_hydroamination_JOC2025_TS14_step4_reductive_elimination,133,132,2,1,2,0,1,87(O)-89(Pd);88(H)-89(Pd),87(O)-88(H),0.80,
pr14.Pd_hydroamination_JOC2025_TS1_step1_OxidativeAdition_bluepath,90,90,1,1,0,0,1,77(O)-84(H),88(H)-89(Pd),0.51,
pr14.Pd_hydroamination_JOC2025_TS2_step1_OxidativeAdition_blackpath,90,90,1,1,0,0,1,77(O)-84(H),88(H)-89(Pd),0.51,
pr14.Pd_hydroamination_JOC2025_TS3_step2_alkene_inserion,105,104,2,3,1,0,1,88(H)-89(Pd);95(C)-96(C),89(Pd)-91(C);89(Pd)-93(C);95(C)-101(H),1.07,
pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult1,83,82,1,1,2,0,1,73(C)-75(Br),46(Fe)-58(Br),6.06,
pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult3,83,82,1,1,3,0,3,73(C)-75(Br),12(Fe)-37(Br),6.45,
pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult5,83,82,1,1,3,0,5,73(C)-75(Br),46(Fe)-58(Br),7.78,
pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult2,72,72,0,1,1,0,2,,16(Fe)-26(C),4.01,
pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult4,72,72,0,1,3,0,4,,16(Fe)-24(C),3.92,
pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult6,72,72,0,1,2,0,6,,16(Fe)-24(C),4.63,
pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult2,72,72,2,1,3,0,2,16(Fe)-26(C);16(Fe)-28(C),59(C)-61(C),3.98,
pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult4,72,72,2,1,2,0,4,16(Fe)-24(C);16(Fe)-26(C),59(C)-61(C),4.85,
pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult6,72,72,2,1,3,0,6,16(Fe)-24(C);16(Fe)-26(C),59(C)-61(C),4.51,
pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult2,70,70,2,1,3,0,2,46(Fe)-47(C);46(Fe)-59(C),51(C)-59(C),4.64,
pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult4,70,70,2,1,2,0,4,12(Fe)-15(C);12(Fe)-26(C),51(C)-59(C),4.99,
pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult6,70,70,2,1,2,0,6,46(Fe)-47(C);46(Fe)-59(C),51(C)-59(C),4.57,
pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult1,83,83,1,1,1,0,1,46(Fe)-59(C),70(C)-72(C),3.55,
pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult3,83,83,1,1,4,0,3,12(Fe)-15(C),70(C)-72(C),4.41,
pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult5,83,83,1,1,2,0,5,46(Fe)-47(C),70(C)-72(C),3.58,
pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult2,82,82,0,1,1,0,2,,12(Fe)-37(C),5.08,
pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult4,82,82,0,1,1,0,4,,12(Fe)-37(C),6.64,
pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult6,82,82,1,1,3,0,6,10(P)-12(Fe),12(Fe)-37(C),3.73,
pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult2,82,82,2,1,4,0,2,12(Fe)-15(C);12(Fe)-37(C),69(C)-71(C),4.70,
pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult4,82,82,2,1,4,0,4,12(Fe)-26(C);12(Fe)-37(C),69(C)-71(C),4.46,
pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult6,82,82,2,2,4,0,6,12(Fe)-15(C);12(Fe)-37(C),0(Fe)-2(P);69(C)-71(C),4.32,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult1,83,82,1,1,2,0,1,73(C)-75(Br),46(Fe)-58(Br),6.06,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult3,83,82,1,1,3,0,3,73(C)-75(Br),12(Fe)-37(Br),6.42,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult5,83,82,1,1,3,0,5,73(C)-75(Br),46(Fe)-58(Br),7.75,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult2,72,72,0,1,1,0,2,,16(Fe)-26(C),4.00,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult4,72,72,0,1,3,0,4,,16(Fe)-24(C),3.91,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult6,72,72,0,1,2,0,6,,16(Fe)-24(C),4.63,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult1,83,83,1,1,1,0,1,46(Fe)-59(C),70(C)-72(C),3.53,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult3,83,83,1,1,4,0,3,12(Fe)-15(C),70(C)-72(C),4.40,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult5,83,83,1,1,2,0,5,46(Fe)-47(C),70(C)-72(C),3.58,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult2,82,82,0,1,1,0,2,,12(Fe)-37(C),5.09,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult4,82,82,0,1,1,0,4,,12(Fe)-37(C),6.62,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult6,82,82,1,1,3,0,6,10(P)-12(Fe),12(Fe)-37(C),3.73,
pr16.carbocation_ts11,18,17,1,1,0,1,1,3(C)-10(H),2(C)-10(H),0.01,
pr16.carbocation_ts12,18,17,2,1,0,1,1,2(C)-10(H);12(C)-16(C),15(C)-17(H),0.01,
pr16.carbocation_ts2,18,18,0,0,0,1,1,,,0.00,
pr16.carbocation_ts3,18,18,0,1,0,1,1,,3(C)-9(C),0.01,
pr16.carbocation_ts4,18,18,0,0,0,1,1,,,0.01,
pr16.carbocation_ts5,18,18,3,2,0,1,1,0(C)-2(C);8(C)-10(C);8(C)-14(C),0(C)-1(C);4(C)-14(C),0.01,
pr16.carbocation_ts7,18,17,1,2,0,1,1,4(C)-9(H),1(C)-2(C);14(C)-15(H),0.01,
pr16.carbocation_ts8,18,17,2,1,0,1,1,3(C)-10(H);12(C)-16(C),15(C)-17(H),0.01,
pr16.carbocation_ts9,18,17,1,1,0,1,1,14(C)-15(H),2(C)-11(H),0.01,
pr17.carbene.ins_ts6a,135,135,1,1,2,0,1,10(C)-22(Rh),82(C)-105(C),4.75,
pr17.carbene.ins_ts8,137,135,2,2,3,0,1,10(C)-135(N);135(N)-136(N),10(C)-22(Rh);135(N)-136(N),7.66,
pr18.Au.alkyl_tsBC,86,85,2,1,2,1,1,21(C)-23(Au);64(C)-71(H),28(C)-29(H),0.18,
pr19.heck_ts1,54,53,4,5,3,0,1,4(C)-10(O);4(C)-11(C);5(C)-14(O);30(H)-32(C),2(C)-24(C);3(C)-47(H);4(C)-8(O);4(C)-9(C);5(C)-12(O),0.04,
pr19.heck_ts9,54,53,1,1,2,0,1,5(C)-13(H),13(H)-45(Pd),0.38,
pr2.mbh_ts1,32,32,1,1,0,0,1,20(C)-21(C),5(C)-6(N),0.08,
pr2.mbh_ts2,48,48,1,1,1,0,1,32(C)-47(O),14(C)-15(C),0.29,
pr2.mbh_ts8,48,48,1,1,1,0,1,4(N)-20(C),0(C)-1(C),0.09,
pr3.Suzuki.Ni_ts11.TM,118,118,1,1,7,-1,2,100(B)-101(C),19(Ni)-102(C),6.18,
pr3.Suzuki.Ni_ts14.RE,98,98,2,1,6,-1,2,0(Ni)-1(C);0(Ni)-83(C),0(C)-30(C),2.39,
pr3.Suzuki.Ni_ts7.OA,99,99,1,0,3,-1,2,17(C)-35(O),,13.24,
pr4.Suzuki-Brcleavage_ts1.Br-cleavage-A,24,24,1,1,1,0,1,2(C)-4(Br),1(S)-5(Pd),0.09,
pr4.Suzuki-Brcleavage_ts1.Br-cleavage-B,24,24,0,0,1,0,1,,,0.15,
pr4.Suzuki-Brcleavage_ts1.Br-cleavage-C,24,24,1,1,1,0,1,4(C)-11(Br),1(Pd)-3(C),0.10,
pr4.Suzuki-Brcleavage_ts1.Br-cleavage-D,24,24,1,1,0,0,1,2(Br)-3(C),1(Pd)-3(C),0.10,
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-A,37,37,1,1,1,0,1,2(C)-4(Br),1(S)-5(Pd),2.35,
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-B,37,36,1,2,1,0,1,3(C)-10(Br),1(O)-11(Pd);3(C)-11(Pd),2.22,
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-C,37,37,1,1,1,0,1,1(Br)-2(C),2(C)-11(Pd),2.62,
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-D,37,37,1,1,1,0,1,1(Br)-2(C),2(C)-11(Pd),2.56,
pr5.Noyori_ts26,90,89,1,1,0,0,1,86(H)-87(H),87(O)-89(H),1.02,
pr5.Noyori_ts45,88,87,2,2,0,0,1,26(Ru)-46(O);30(N)-66(H),0(Ru)-10(N);85(O)-87(H),0.37,
pr5.Noyori_ts56,87,86,1,1,0,0,1,85(H)-86(H),9(N)-46(H),0.68,
pr5.Noyori_ts5H2,87,87,0,0,0,0,1,,,0.73,
pr5.Noyori_ts65,95,93,3,2,0,0,1,0(Ru)-1(H);9(N)-10(H);88(C)-93(O),45(O)-52(H);46(C)-71(H),0.76,
pr6.AlNHCs_tsI,59,59,1,0,4,0,1,0(C)-7(Al),,2.52,
pr6.AlNHCs_tsII,59,59,0,1,1,0,1,,4(C)-9(Al),1.87,
pr7.V.dodh_ts1011-triplet,38,38,1,1,2,-1,3,0(V)-18(O),11(P)-19(O),0.23,
pr7.V.dodh_ts1015,38,38,0,1,1,-1,1,,12(V)-22(P),0.07,
pr7.V.dodh_ts1112-triplet,38,38,1,1,1,-1,3,15(O)-16(C),8(V)-19(O),0.22,
pr7.V.dodh_ts13,31,31,0,1,0,-1,1,,10(V)-15(P),0.07,
pr7.V.dodh_ts1314,38,38,3,3,2,-1,1,8(V)-11(O);8(V)-18(C);16(O)-17(C),10(V)-13(O);10(V)-17(O);32(C)-33(C),0.13,
pr7.V.dodh_ts14,31,31,1,1,0,-1,1,0(V)-2(O),2(O)-18(P),0.18,
pr7.V.dodh_ts141,32,32,0,1,0,-1,1,,0(V)-4(O),0.07,
pr7.V.dodh_ts156,38,37,2,1,1,-1,1,12(V)-21(O);12(V)-22(P),24(O)-25(P),0.24,
pr7.V.dodh_ts19,28,27,2,2,0,-1,1,0(V)-2(O);21(O)-22(H),8(V)-9(O);15(O)-27(H),0.01,
pr7.V.dodh_ts25-singlet,27,27,2,2,0,-1,1,0(V)-2(O);17(C)-20(O),6(V)-7(O);14(O)-15(C),0.01,
pr7.V.dodh_ts25-triplet,27,27,2,2,0,-1,3,0(V)-2(O);17(C)-20(O),6(V)-7(O);14(O)-15(C),0.01,
pr7.V.dodh_ts32,31,30,2,1,0,-1,1,10(V)-11(O);10(V)-15(P),17(O)-18(P),0.18,
pr7.V.dodh_ts45-singlet,41,40,2,2,0,-1,1,0(V)-1(O);34(O)-35(H),6(V)-14(O);7(O)-18(H),0.07,
pr7.V.dodh_ts45-triplet,41,40,2,2,0,-1,3,0(V)-1(O);34(O)-35(H),6(V)-14(O);7(O)-18(H),0.07,
pr7.V.dodh_ts56-singlet,27,24,4,4,0,-1,1,6(V)-9(O);7(O)-18(H);8(C)-9(O);17(O)-26(H),6(V)-17(O);7(O)-8(C);24(O)-25(H);24(O)-26(H),0.02,
pr7.V.dodh_ts56-triplet,27,24,4,4,0,-1,3,6(V)-9(O);7(O)-18(H);8(C)-9(O);17(O)-26(H),6(V)-17(O);7(O)-8(C);24(O)-25(H);24(O)-26(H),0.02,
pr7.V.dodh_ts61,24,24,2,3,0,-1,1,12(O)-19(C);17(O)-18(C),0(V)-1(O);0(V)-2(O);18(C)-19(C),0.01,
pr7.V.dodh_ts67,24,24,1,1,0,-1,3,12(O)-19(C),0(V)-15(O),0.01,
pr7.V.dodh_ts71,24,24,2,3,0,-1,3,5(C)-6(O);16(O)-17(C),0(V)-2(O);4(O)-6(C);18(C)-19(C),0.02,
pr7.V.dodh_ts81,24,24,2,2,0,-1,1,0(V)-21(C);1(O)-18(C),0(V)-2(O);18(C)-19(C),0.01,
pr7.V.dodh_ts81-b,24,24,2,2,0,-1,1,6(V)-9(C);7(O)-8(C),0(V)-2(O);18(C)-19(C),0.02,
pr7.V.dodh_ts910,28,27,2,2,0,-1,1,11(C)-12(O);15(O)-27(H),1(O)-19(C);25(O)-27(H),0.01,
pr7.V.dodh_ts910-water,31,30,2,2,0,-1,1,11(C)-12(O);15(O)-27(H),9(O)-10(C);18(O)-22(H),0.02,
pr8.ketenes_ts1prime,63,63,1,0,2,0,1,0(C)-2(C),,0.51,
pr8.ketenes_ts2prime,63,63,0,1,4,0,1,,0(C)-18(O),0.96,
pr9.carbene.rearr_ts10,18,18,1,2,1,0,1,2(C)-16(C),1(C)-17(C);16(C)-17(C),0.02,
pr9.carbene.rearr_ts11,60,58,3,1,2,0,1,18(C)-22(C);21(C)-22(C);22(C)-23(O),58(C)-59(O),0.34,
pr9.carbene.rearr_ts13a,24,24,1,2,1,0,1,5(C)-22(C),3(C)-4(C);3(C)-12(C),0.01,
pr9.carbene.rearr_ts33,60,60,3,3,2,0,1,16(C)-17(C);18(C)-19(C);20(C)-21(C),16(C)-18(C);17(C)-21(C);19(C)-20(C),0.09,
pr9.carbene.rearr_ts39-endo,40,40,1,2,3,0,1,36(C)-38(C),6(C)-26(C);6(C)-27(C),0.04,
pr9.carbene.rearr_ts41a-endo,40,40,1,2,3,0,1,6(C)-36(C),5(C)-6(C);5(C)-36(C),0.03,
pr9.carbene.rearr_ts42,60,60,1,2,2,0,1,2(C)-3(C),17(C)-20(C);17(C)-21(C),0.05,
pr9.carbene.rearr_ts47a,40,40,2,2,1,0,1,3(C)-4(C);36(C)-38(C),6(C)-36(C);6(C)-38(C),0.04,
