437986|COMPLETED|00:00:07|7|00:01.366||16|bosque34|golden_finish_v5
437986.batch|COMPLETED|00:00:07|7|00:01.363|3304K|16|bosque34|batch
437986.extern|COMPLETED|00:00:07|7|00:00.003|4K|16|bosque34|extern
437987|COMPLETED|00:05:26|326|12:51.900||16|bosque35|golden_finish_v5
437987.batch|COMPLETED|00:05:26|326|12:51.845|8478M|16|bosque35|batch
437987.extern|COMPLETED|00:05:26|326|00:00.003|1052K|16|bosque35|extern
437987.0|COMPLETED|00:00:00|0|00:00.051|3184K|1|bosque35|ps
437988|COMPLETED|00:04:26|266|10:22.615||16|bosque36|golden_finish_v5
437988.batch|COMPLETED|00:04:26|266|10:22.612|8018592K|16|bosque36|batch
437988.extern|COMPLETED|00:04:26|266|00:00.003|1056K|16|bosque36|extern
437989|COMPLETED|00:05:36|336|11:49.783||16|bosque37|golden_finish_v5
437989.batch|COMPLETED|00:05:36|336|11:49.779|11913864K|16|bosque37|batch
437989.extern|COMPLETED|00:05:36|336|00:00.003|1016K|16|bosque37|extern
437990|COMPLETED|00:00:05|5|00:01.276||16|bosque38|golden_finish_v5
437990.batch|COMPLETED|00:00:05|5|00:01.273|3392K|16|bosque38|batch
437990.extern|COMPLETED|00:00:05|5|00:00.003|4K|16|bosque38|extern
437991|COMPLETED|00:00:04|4|00:01.321||16|bosque39|golden_finish_v5
437991.batch|COMPLETED|00:00:04|4|00:01.318|3404K|16|bosque39|batch
437991.extern|COMPLETED|00:00:04|4|00:00.003|4K|16|bosque39|extern
437992|COMPLETED|00:10:01|601|19:59.602||16|bosque40|golden_finish_v5
437992.batch|COMPLETED|00:10:01|601|19:59.553|12600284K|16|bosque40|batch
437992.extern|COMPLETED|00:10:01|601|00:00.003|1044K|16|bosque40|extern
437992.0|COMPLETED|00:00:01|1|00:00.045|3248K|1|bosque40|ps
